,education_attained,enrollment_status,age,sample_weight,employed
0,05,0,40.0,90.0,1
1,06,0,11.0,78.0,1
2,04,0,9.0,60.0,1
3,11,0,48.0,109.0,1
4,11,0,48.0,108.0,1
5,22,0,28.0,18.0,1
6,22,0,27.0,20.0,1
7,19,0,62.0,37.0,1
8,19,0,43.0,23.0,1
9,16,0,65.0,24.0,1
10,20,0,73.0,16.0,1
11,20,0,71.0,14.0,1
12,22,0,30.0,31.0,1
13,21,0,24.0,20.0,1
14,21,0,24.0,15.0,1
15,16,0,47.0,4.0,1
16,16,0,43.0,47.0,1
17,18,0,40.0,53.0,1
18,18,0,70.0,12.0,1
19,21,0,62.0,16.0,1
20,20,0,59.0,24.0,1
21,21,0,64.0,28.0,1
22,23,0,57.0,22.0,1
23,20,0,63.0,18.0,1
24,21,0,63.0,17.0,1
25,16,0,31.0,17.0,1
26,11,0,14.0,16.0,1
27,23,0,55.0,25.0,1
28,18,0,19.0,30.0,1
29,20,0,31.0,23.0,1
30,14,0,37.0,38.0,1
31,13,0,17.0,36.0,1
32,07,0,11.0,37.0,1
33,16,1,86.0,26.0,1
34,19,1,56.0,20.0,1
35,17,1,55.0,20.0,1
36,16,1,50.0,28.0,1
37,16,1,19.0,36.0,1
38,20,1,45.0,11.0,1
39,16,1,42.0,11.0,1
40,18,1,18.0,15.0,1
41,13,1,16.0,9.0,1
42,08,1,12.0,11.0,1
43,08,1,10.0,11.0,1
44,21,0,44.0,66.0,1
45,22,0,44.0,64.0,1
46,09,0,14.0,64.0,1
47,07,0,10.0,64.0,1
48,20,0,38.0,16.0,1
49,12,0,17.0,13.0,1
50,14,0,15.0,14.0,1
51,21,0,36.0,19.0,1
52,20,0,32.0,17.0,1
53,19,0,55.0,16.0,1
54,16,0,62.0,14.0,0
55,17,0,65.0,13.0,1
56,20,0,62.0,15.0,1
57,01,0,55.0,15.0,1
58,18,0,21.0,29.0,1
59,19,0,24.0,41.0,1
60,19,0,26.0,49.0,1
61,19,0,22.0,47.0,1
62,09,0,52.0,26.0,1
63,01,0,47.0,27.0,1
64,15,0,18.0,24.0,1
65,20,0,68.0,14.0,1
66,21,0,61.0,19.0,1
67,17,0,28.0,17.0,1
68,18,0,28.0,14.0,1
69,02,0,3.0,17.0,1
70,19,0,25.0,15.0,1
71,21,0,2.0,10.0,1
72,05,0,9.0,14.0,1
